02/24/17 20:50:33 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Bing+Crosby+%26+Frank+Sinatra""

02/24/17 20:51:32 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Crystal+Castles+vs.+Health""

02/24/17 20:51:52 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"La+Cuca""

02/24/17 20:53:26 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Cyber-Tec+Project""

02/24/17 20:53:52 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"D.+Kay+%26+Epsilon""

02/24/17 20:55:15 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Lucio+Dalla+%26+Gianni+Morandi""

02/24/17 20:56:36 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"%C3%8E%C2%A7%C3%8F%C2%81%C3%8E%C2%AE%C3%8F%C2%83%C3%8F%C2%84%C3%8E%C2%BF%C3%8F%C2%82+%C3%8E%C2%94%C3%8E%C2%AC%C3%8E%C2%BD%C3%8F%C2%84%C3%8E%C2%B7%C3%8F%C2%82""

02/24/17 20:56:48 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Dappled+Cities+Fly""

02/24/17 20:57:34 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Darren+Tate+vs.+Jono+Grant""

02/24/17 20:58:23 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Sammy+Davis+Jr.+%26+Count+Basie""

02/24/17 20:59:21 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"%C3%90%C2%94%C3%90%C2%94%C3%90%C2%A2""

02/24/17 20:59:43 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"G%C3%A9rald+de+Palmas""

02/24/17 20:59:47 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Eva+De+Roovere+%26+Gerry+De+Mol""

02/24/17 21:02:06 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"De-Grees+vs.+The+Real+Booty+Babes""

02/24/17 21:02:22 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Delaney+%26+Bonnie+and+Friends""

02/24/17 21:03:46 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"The+Demigodz""

02/24/17 21:03:55 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Demon+vs.+Heartbreaker""

02/24/17 21:04:13 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"John+Denver+%26+The+Muppets""

02/24/17 21:06:43 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Tina+Dico""

02/24/17 21:08:19 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Dirty+South+vs.+Evermore""

02/24/17 21:08:48 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Disiz+la+Peste""

02/24/17 21:12:26 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Double+Trouble+%26+Rebel+MC""

02/24/17 21:14:35 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Julie+Driscoll%2C+Brian+Auger+%26+The+Trinity""

02/24/17 21:15:18 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Dub+Incorporation""

02/24/17 21:16:06 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Dumonde+vs.+Lange""

02/24/17 21:16:07 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"%C3%90%C2%94%C3%91%C2%8E%C3%90%C2%BD%C3%90%C2%B0""

02/24/17 21:16:44 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"D%C3%BC%C3%85%C2%9F+Soka%C3%84%C2%9F%C3%84%C2%B1+Sakinleri""

02/24/17 21:17:03 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"%C3%90%C2%AF%C3%90%C2%BD%C3%90%C2%BA%C3%90%C2%B0+%C3%90%C2%94%C3%91%C2%8F%C3%90%C2%B3%C3%90%C2%B8%C3%90%C2%BB%C3%90%C2%B5%C3%90%C2%B2%C3%90%C2%B0""

02/24/17 21:17:13 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Bob+Dylan+%26+The+Band""

02/24/17 21:17:15 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Bob+Dylan+%26+Johnny+Cash""

02/24/17 21:17:16 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Bob+Dylan+%26+Grateful+Dead""

02/24/17 21:17:17 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Bob+Dylan+%26+Tom+Petty""

02/24/17 21:17:27 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"D%C3%85%C2%BCem""

02/24/17 21:18:41 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Edda+m%C3%85%C2%B1vek""

02/24/17 21:18:47 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Eddie+Thoneick+%26+Kurd+Maverick""

02/24/17 21:19:33 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Zac+Efron+%26+Vanessa+Anne+Hudgens""

02/24/17 21:21:43 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Duke+Ellington+%26+John+Coltrane""

